date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,95.75,340.02,135.33,114.27,207.61,50.372,309
2019-12-10T00:00:00.000Z,79.36,264.08,189.5,149.99,203.99,41.056,412
2019-12-11T00:00:00.000Z,166.81,249.12,208.96,194.22,223.58,18.681,421
2019-12-12T00:00:00.000Z,85.82,208.54,140.38,129.1,157.8,25.25,490
2019-12-13T00:00:00.000Z,96.92,206.15,143.9,130.55,161.19,23.072,563
2019-12-14T00:00:00.000Z,135.54,384.2,169.26,155.01,196.7,29.167,400
2019-12-15T00:00:00.000Z,159.72,268.33,202.68,187.61,233.58,27.292,578
2019-12-16T00:00:00.000Z,147.44,252.29,212.97,191.29,223.44,22.301,290
2019-12-17T00:00:00.000Z,37.72,103.94,64.79,56.86,73.79,13.52,288
2019-12-18T00:00:00.000Z,32.78,189.84,80.25,52.42,105.58,32.989,463
2019-12-19T00:00:00.000Z,28.44,260.58,120.9,74.84,171.04,63.781,541
2019-12-20T00:00:00.000Z,37.76,291.27,125.23,93.38,159.72,52.849,586
2019-12-21T00:00:00.000Z,25.22,308.17,152.96,63.32,200.38,79.831,575
2019-12-22T00:00:00.000Z,58.22,444.24,258.36,119.41,356.3,118.058,585
2019-12-23T00:00:00.000Z,76.15,409.3,286.52,231.38,348.42,75.883,527
2019-12-24T00:00:00.000Z,51.41,369.94,187.12,129.06,264.3,83.468,547
2019-12-25T00:00:00.000Z,4.24,226.1,59.78,43.71,104.55,52.756,583
2019-12-26T00:00:00.000Z,5.9,124.71,44.14,33.75,56.15,24.338,579
2019-12-27T00:00:00.000Z,7.62,54.14,26.97,18.82,34.59,10.137,590
2019-12-28T00:00:00.000Z,17.14,101.11,57.94,48.1,67.11,15.14,584
2019-12-29T00:00:00.000Z,21.46,111.86,42.57,33.29,53.71,14.271,588
2019-12-30T00:00:00.000Z,16.16,120.85,46.74,27.49,60.89,20.751,585
2019-12-31T00:00:00.000Z,24.08,198.6,72.28,49.21,107.44,42.239,569
2020-01-01T00:00:00.000Z,43.35,109.57,79.23,66.63,87.35,14.553,481
2020-01-02T00:00:00.000Z,36.47,102.05,60.32,48.38,69.31,15.841,292
2020-01-03T00:00:00.000Z,34.34,130.5,66.86,53.9,84.75,20.3,306
2020-01-04T00:00:00.000Z,68.26,157.66,103.82,87.64,130.47,24.479,379
2020-01-05T00:00:00.000Z,65.43,168.51,95.73,82.82,103.59,19.575,494
2020-01-06T00:00:00.000Z,55.33,148.05,98.48,89.66,111.62,16.629,352
2020-01-07T00:00:00.000Z,57.05,137.22,96.5,77.95,107.32,18.261,204
2020-01-08T00:00:00.000Z,48.78,187.18,93.01,74.98,140.52,38.056,500
2020-01-09T00:00:00.000Z,56.97,190.29,100.52,90.66,116.23,20.661,527
