id,name,longitude,latitude
1,"ք. Երևան, Արշակունյաց 27/3",44.504019,40.158253
2,"ք. Երևան, Ալմա-Աթայի փ. հ.1/4",44.57564323,40.21918492
3,"ՀՀ Ք.Երևան,  Դավթաշեն 1-ին թաղամաս 61",44.486441,40.219206
4,"ք. Երևան, Արշակունյաց 27/3",44.504168,40.158515
5,"ք. Երևան, Քանաքեռ-Զեյթուն, Դրոյի փ. հ. 13/1",44.541504,40.203171
6,"ք. Երևան, Ս․ Լուկաշինի 37/47 ",44.447,40.193658
7,"ք. Երևան, Քանաքեռ-Զեյթուն, Դրոյի փ. հ.22 ",44.544678,40.205636
8,"ք. Երևան, Դ․ Անհաղթ h․25",44.53647643,40.20000343
9,"ք. Երևան, Նորք 19",44.5427381,40.19189044
10,"ՀՀ, ք․ Երևան,Կ․ Ուլնեցու 45/1",44.533607,40.202882
11,"ՀՀ, ք․ Երևան,Կ․ Ուլնեցու 45/1",44.533042,40.202509
12,"ք. Երևան, Դ․ Անհաղթ h․25",44.53688336,40.20032464
13,"ՀՀ Ք.Երևան,  Դավթաշեն 1-ին թաղամաս 61",44.485678,40.219126
14,"ք. Երևան, Ս․ Լուկաշինի 37/47 ",44.446711,40.19401
15,"ք. Երևան, Քանաքեռ-Զեյթուն, Դրոյի փ. հ. 13/1",44.540715,40.203692
16,"ք. Երևան, Ալմա-Աթայի փ. հ.1/4",44.576525,40.218822
17,"ք. Երևան, Քանաքեռ-Զեյթուն, Դրոյի փ. հ.22 ",44.54432738,40.20529295
18,"ք․Երևան, Գ․ Նժդեհ 15/1",44.486616,40.151925
19,"ք․Երևան, Գ․ Նժդեհ 15/1",44.485872,40.15182571
20,"ք. Երևան, Դավթաշեն 10-րդ փ. հ.15/5",44.484628,40.221149
21,"ք. Երևան, Դավթաշեն 10-րդ փ. հ.15/5",44.48396,40.220139
22,"ք․ Երևան, Արշակունյաց պողոտա 192",44.496617,40.144987
23,"ք․ Երևան, Արշակունյաց պողոտա 192",44.497045,40.14486
24,"ք․ Երևան, Ծիծեռնակաբերդի խճ - 1",44.480846,40.181453
25,"ք․ Երևան, Ծիծեռնակաբերդի խճ - 2",44.480768,40.181398
